train_label, mse, rmse, mae, r2
SVR_50,22.49770,4.74317,3.56167,0.76217
SVR_51,27.49560,5.24362,3.72477,0.70850
SVR_52,25.29139,5.02905,3.80480,0.72853
SVR_53,28.13936,5.30465,3.77477,0.71893
SVR_54,33.53420,5.79087,4.29327,0.67942
SVR_55,27.75203,5.26802,3.67342,0.71285
SVR_56,27.93137,5.28501,3.71391,0.72621
SVR_57,24.98401,4.99840,3.53644,0.72711
SVR_58,25.80085,5.07945,3.64988,0.74230
SVR_59,25.16303,5.01628,3.45314,0.72962
SVR_60,28.36837,5.32620,3.81325,0.69800
SVR_61,22.93165,4.78870,3.36076,0.70866
SVR_62,34.66067,5.88733,4.21043,0.67603
SVR_63,25.65869,5.06544,3.56404,0.73818
SVR_64,26.64522,5.16190,3.57988,0.72937
SVR_65,29.77533,5.45668,3.80637,0.70613
SVR_66,35.09846,5.92440,4.21984,0.67383
SVR_67,26.28055,5.12646,3.60746,0.72020
SVR_68,23.72284,4.87061,3.54146,0.75033
SVR_69,26.43061,5.14107,3.67527,0.72031
SVR_70,24.80468,4.98043,3.57098,0.73850
SVR_71,23.59452,4.85742,3.46684,0.73940
SVR_72,26.15388,5.11409,3.75019,0.72523
SVR_73,28.42252,5.33128,3.80981,0.71059
SVR_74,26.11559,5.11034,3.63540,0.73377
SVR_75,23.06872,4.80299,3.34314,0.73936
SVR_76,26.84784,5.18149,3.75347,0.72213
SVR_77,20.94499,4.57657,3.25987,0.74940
SVR_78,31.78420,5.63775,4.03544,0.68912
SVR_79,26.13824,5.11256,3.74627,0.72562
SVR_80,27.04609,5.20059,3.68992,0.71123
SVR_81,29.43107,5.42504,3.97346,0.68388
SVR_82,26.30998,5.12933,3.68365,0.72335
SVR_83,29.24591,5.40795,3.98218,0.69371
SVR_84,24.42824,4.94249,3.45013,0.73234
SVR_85,29.17075,5.40099,3.71824,0.70545
SVR_86,33.16406,5.75882,4.04352,0.65361
SVR_87,28.07485,5.29857,3.76331,0.71706
SVR_88,28.76965,5.36373,3.86446,0.70889
SVR_89,35.70808,5.97562,4.22857,0.65445
SVR_90,28.70137,5.35737,3.87183,0.72193
SVR_91,26.73543,5.17063,3.66088,0.70705
SVR_92,21.03228,4.58610,3.34972,0.75377
SVR_93,30.69857,5.54063,3.93012,0.69713
SVR_94,23.48562,4.84620,3.40587,0.73871
SVR_95,34.22188,5.84995,4.19718,0.67668
SVR_96,18.48188,4.29906,3.23022,0.79001
SVR_97,29.46884,5.42852,3.80739,0.68838
SVR_98,27.06390,5.20230,3.77571,0.69395
SVR_99,23.81699,4.88027,3.60132,0.74619
GaussianProcessRegressor_0,0.65280,0.80796,0.48324,0.99317
GaussianProcessRegressor_1,0.72332,0.85048,0.48332,0.99295
GaussianProcessRegressor_2,1.43966,1.19986,0.56915,0.98311
GaussianProcessRegressor_3,0.69190,0.83181,0.51579,0.99311
GaussianProcessRegressor_4,2.21840,1.48943,0.70486,0.97769
GaussianProcessRegressor_5,1.42472,1.19362,0.59186,0.98475
GaussianProcessRegressor_6,1.39609,1.18156,0.65265,0.98561
GaussianProcessRegressor_7,1.38916,1.17863,0.62617,0.98424
GaussianProcessRegressor_8,1.96037,1.40013,0.76723,0.97931
GaussianProcessRegressor_9,1.39420,1.18076,0.65069,0.98584
GaussianProcessRegressor_10,0.62195,0.78864,0.51844,0.99299
GaussianProcessRegressor_11,1.59541,1.26310,0.65664,0.98276
GaussianProcessRegressor_12,4.70766,2.16971,0.96624,0.94767
GaussianProcessRegressor_13,1.31403,1.14631,0.58432,0.98687
GaussianProcessRegressor_14,1.03647,1.01807,0.54824,0.98858
GaussianProcessRegressor_15,1.40339,1.18465,0.62496,0.98352
GaussianProcessRegressor_16,1.23126,1.10962,0.61838,0.98468
GaussianProcessRegressor_17,0.74522,0.86326,0.56502,0.99283
GaussianProcessRegressor_18,3.86993,1.96721,0.82677,0.95944
GaussianProcessRegressor_19,2.03925,1.42802,0.64285,0.97564
GaussianProcessRegressor_20,3.81985,1.95444,0.89624,0.95617
GaussianProcessRegressor_21,2.33613,1.52844,0.76072,0.97584
GaussianProcessRegressor_22,1.11442,1.05566,0.62950,0.98916
GaussianProcessRegressor_23,1.23154,1.10975,0.57878,0.98703
GaussianProcessRegressor_24,1.22886,1.10854,0.62957,0.98739
GaussianProcessRegressor_25,1.01822,1.00907,0.62354,0.98887
GaussianProcessRegressor_26,1.82624,1.35138,0.68055,0.97733
GaussianProcessRegressor_27,1.55641,1.24756,0.59541,0.98282
GaussianProcessRegressor_28,1.02545,1.01265,0.56704,0.99013
GaussianProcessRegressor_29,1.36405,1.16793,0.64278,0.98609
GaussianProcessRegressor_30,0.96110,0.98036,0.53605,0.98940
GaussianProcessRegressor_31,1.56394,1.25057,0.71040,0.98235
GaussianProcessRegressor_32,0.99190,0.99594,0.62223,0.98991
GaussianProcessRegressor_33,1.03513,1.01742,0.57813,0.98949
GaussianProcessRegressor_34,1.57750,1.25599,0.60830,0.98385
GaussianProcessRegressor_35,1.22681,1.10761,0.62016,0.98626
GaussianProcessRegressor_36,1.06189,1.03048,0.63689,0.98848
GaussianProcessRegressor_37,0.64779,0.80485,0.48111,0.99318
GaussianProcessRegressor_38,1.01803,1.00897,0.54818,0.98913
GaussianProcessRegressor_39,2.01023,1.41783,0.73368,0.97951
GaussianProcessRegressor_40,1.30074,1.14050,0.61627,0.98557
GaussianProcessRegressor_41,1.56757,1.25203,0.66095,0.98293
GaussianProcessRegressor_42,1.52614,1.23537,0.60445,0.98338
GaussianProcessRegressor_43,1.58086,1.25732,0.60869,0.98286
GaussianProcessRegressor_44,1.45731,1.20719,0.66651,0.98521
GaussianProcessRegressor_45,0.93865,0.96884,0.57540,0.98957
GaussianProcessRegressor_46,1.22551,1.10703,0.68399,0.98745
GaussianProcessRegressor_47,1.48753,1.21964,0.68948,0.98312
GaussianProcessRegressor_48,0.72245,0.84997,0.55031,0.99156
GaussianProcessRegressor_49,1.38021,1.17482,0.73671,0.98486
GaussianProcessRegressor_50,1.03388,1.01680,0.58742,0.98871
GaussianProcessRegressor_51,1.23174,1.10984,0.64349,0.98674
GaussianProcessRegressor_52,1.86286,1.36487,0.71044,0.97859
GaussianProcessRegressor_53,1.23700,1.11220,0.63557,0.98701
GaussianProcessRegressor_54,1.92503,1.38745,0.65176,0.98101
GaussianProcessRegressor_55,1.77836,1.33355,0.72144,0.98107
GaussianProcessRegressor_56,1.08676,1.04248,0.65434,0.98919
GaussianProcessRegressor_57,1.89616,1.37701,0.68679,0.97838
GaussianProcessRegressor_58,0.80192,0.89550,0.51454,0.99166
GaussianProcessRegressor_59,1.06390,1.03145,0.58893,0.98854
GaussianProcessRegressor_60,4.05856,2.01459,0.82549,0.95619
GaussianProcessRegressor_61,0.91900,0.95864,0.58736,0.98811
GaussianProcessRegressor_62,0.68492,0.82760,0.55364,0.99337
GaussianProcessRegressor_63,2.06213,1.43601,0.73697,0.97863
GaussianProcessRegressor_64,1.66751,1.29132,0.59051,0.98260
GaussianProcessRegressor_65,0.72666,0.85244,0.53202,0.99264
