train_label, mse, rmse, mae, r2
MLPRegressor_5,21.57629,4.64503,3.57716,0.76418
MLPRegressor_6,14.07205,3.75127,2.83578,0.85033
MLPRegressor_7,12.30055,3.50721,2.68151,0.86687
MLPRegressor_8,20.98437,4.58087,3.62380,0.76724
MLPRegressor_9,11.58992,3.40440,2.63381,0.86616
MLPRegressor_10,19.31732,4.39515,3.34800,0.81612
MLPRegressor_11,16.84283,4.10400,3.30921,0.82692
MLPRegressor_12,14.78658,3.84533,2.90691,0.85283
MLPRegressor_13,14.54404,3.81366,3.00117,0.83094
MLPRegressor_14,20.13906,4.48766,3.57183,0.78174
MLPRegressor_15,27.83769,5.27614,4.27366,0.68483
MLPRegressor_16,18.36134,4.28501,3.51222,0.78530
MLPRegressor_17,21.62823,4.65062,3.70425,0.75922
MLPRegressor_18,11.00476,3.31734,2.54383,0.87958
MLPRegressor_19,17.96622,4.23866,3.20964,0.80240
MLPRegressor_20,18.74553,4.32961,3.22185,0.80671
MLPRegressor_21,18.31956,4.28014,3.30454,0.80677
MLPRegressor_22,10.85525,3.29473,2.61353,0.89085
MLPRegressor_23,14.61719,3.82324,3.05391,0.83400
MLPRegressor_24,21.87624,4.67720,3.69685,0.77088
MLPRegressor_25,24.02983,4.90202,3.77581,0.73829
MLPRegressor_26,12.81998,3.58050,2.77112,0.86514
MLPRegressor_27,10.89419,3.30063,2.57803,0.88728
MLPRegressor_28,17.05542,4.12982,3.08317,0.80639
MLPRegressor_29,24.56098,4.95590,3.72599,0.75970
MLPRegressor_30,9.16821,3.02790,2.38331,0.90048
MLPRegressor_31,20.54462,4.53262,3.56735,0.77229
MLPRegressor_32,12.37612,3.51797,2.82333,0.85132
MLPRegressor_33,22.90820,4.78625,3.67100,0.73710
MLPRegressor_34,24.06552,4.90566,3.91849,0.75591
MLPRegressor_35,21.30893,4.61616,3.65323,0.78424
MLPRegressor_36,24.09949,4.90912,3.86493,0.76523
MLPRegressor_37,21.44075,4.63042,3.73514,0.75071
MLPRegressor_38,22.35754,4.72838,3.80020,0.77298
MLPRegressor_39,21.23168,4.60778,3.52700,0.77316
MLPRegressor_40,23.08237,4.80441,3.76889,0.77807
MLPRegressor_41,20.57171,4.53560,3.43881,0.78632
MLPRegressor_42,17.64220,4.20026,3.23174,0.80402
MLPRegressor_43,15.13983,3.89099,2.98668,0.82772
MLPRegressor_44,14.31182,3.78310,3.02300,0.85402
MLPRegressor_45,22.45451,4.73862,3.73760,0.74770
MLPRegressor_46,16.40230,4.04998,3.17732,0.83000
MLPRegressor_47,28.00641,5.29211,4.07867,0.69859
MLPRegressor_48,18.63845,4.31723,3.43420,0.72813
MLPRegressor_49,15.12999,3.88973,2.90663,0.84401
MLPRegressor_50,15.83785,3.97968,2.99925,0.82844
MLPRegressor_51,22.42481,4.73548,3.40153,0.73249
MLPRegressor_52,14.39719,3.79436,2.99894,0.85036
MLPRegressor_53,19.89690,4.46059,3.61793,0.78167
MLPRegressor_54,16.95838,4.11805,3.17589,0.82703
MLPRegressor_55,25.48803,5.04857,3.63293,0.74940
MLPRegressor_56,16.83362,4.10288,3.16649,0.81007
MLPRegressor_57,10.88643,3.29946,2.45711,0.89089
MLPRegressor_58,21.46711,4.63326,3.70314,0.73470
MLPRegressor_59,23.82337,4.88092,3.71240,0.74862
MLPRegressor_60,17.56850,4.19148,3.15982,0.78537
MLPRegressor_61,17.74837,4.21288,3.34264,0.79510
MLPRegressor_62,22.91457,4.78692,3.50077,0.77093
MLPRegressor_63,23.93992,4.89284,3.81996,0.74279
MLPRegressor_64,19.23631,4.38592,3.36470,0.81467
MLPRegressor_65,18.96717,4.35513,3.16040,0.79564
MLPRegressor_66,18.47346,4.29808,3.47181,0.77290
MLPRegressor_67,14.47403,3.80447,2.94273,0.85106
MLPRegressor_68,20.47386,4.52480,3.46441,0.78076
MLPRegressor_69,22.18357,4.70994,3.58952,0.77631
MLPRegressor_70,23.30273,4.82729,3.82450,0.74854
MLPRegressor_71,28.95584,5.38106,3.99758,0.63963
MLPRegressor_72,21.71088,4.65949,3.78016,0.76301
MLPRegressor_73,21.46242,4.63275,3.64071,0.77500
MLPRegressor_74,14.44080,3.80011,2.94060,0.84788
MLPRegressor_75,16.48693,4.06041,3.14637,0.82848
MLPRegressor_76,10.48511,3.23807,2.50627,0.87805
