train_label, mse, rmse, mae, r2
GaussianProcessRegressor_64,1.97438,1.40513,0.80307,0.97713
GaussianProcessRegressor_65,1.83606,1.35501,0.76234,0.97950
GaussianProcessRegressor_66,2.24504,1.49834,0.81710,0.97627
GaussianProcessRegressor_67,2.03884,1.42788,0.77280,0.97743
GaussianProcessRegressor_68,2.42611,1.55760,0.89788,0.97483
GaussianProcessRegressor_69,1.92184,1.38630,0.79607,0.97723
GaussianProcessRegressor_70,2.01768,1.42045,0.82316,0.97979
GaussianProcessRegressor_71,1.64318,1.28187,0.71900,0.98201
GaussianProcessRegressor_72,1.99647,1.41297,0.82571,0.97675
GaussianProcessRegressor_73,1.74573,1.32126,0.79244,0.97774
GaussianProcessRegressor_74,1.29331,1.13724,0.64352,0.98626
GaussianProcessRegressor_75,2.23797,1.49599,0.79229,0.97614
GaussianProcessRegressor_76,1.67678,1.29490,0.75695,0.98072
GaussianProcessRegressor_77,2.60462,1.61388,0.94480,0.97250
GaussianProcessRegressor_78,2.44048,1.56220,0.85597,0.97184
GaussianProcessRegressor_79,2.20171,1.48381,0.82042,0.97325
GaussianProcessRegressor_80,2.18688,1.47881,0.87764,0.97346
GaussianProcessRegressor_81,1.90072,1.37867,0.77695,0.97852
GaussianProcessRegressor_82,2.27097,1.50697,0.86009,0.97365
GaussianProcessRegressor_83,2.07699,1.44118,0.76615,0.97655
GaussianProcessRegressor_84,2.57995,1.60622,0.88984,0.96955
GaussianProcessRegressor_85,1.51815,1.23213,0.70734,0.98079
GaussianProcessRegressor_86,2.03637,1.42701,0.79627,0.97684
GaussianProcessRegressor_87,2.24942,1.49981,0.83076,0.97566
GaussianProcessRegressor_88,1.51164,1.22949,0.72065,0.98165
GaussianProcessRegressor_89,2.22465,1.49153,0.81070,0.97598
GaussianProcessRegressor_90,2.12235,1.45683,0.78382,0.97657
GaussianProcessRegressor_91,3.55175,1.88461,1.04249,0.96522
GaussianProcessRegressor_92,2.45251,1.56605,0.85926,0.97252
GaussianProcessRegressor_93,2.29199,1.51393,0.83130,0.97615
GaussianProcessRegressor_94,2.50653,1.58320,0.87416,0.97306
GaussianProcessRegressor_95,1.87659,1.36989,0.78417,0.97846
GaussianProcessRegressor_96,2.03370,1.42608,0.82018,0.97705
GaussianProcessRegressor_97,1.15062,1.07267,0.64941,0.98618
GaussianProcessRegressor_98,1.93709,1.39179,0.83378,0.97529
GaussianProcessRegressor_99,1.79668,1.34040,0.74819,0.97981
MLPRegressor_0,13.90411,3.72882,2.90242,0.85393
MLPRegressor_1,24.61958,4.96181,3.93177,0.76380
MLPRegressor_2,13.38629,3.65873,2.84658,0.86455
MLPRegressor_3,13.46257,3.66914,2.72635,0.87373
MLPRegressor_4,16.75302,4.09305,3.06732,0.80483
MLPRegressor_5,13.88293,3.72598,2.85505,0.85733
MLPRegressor_6,12.22571,3.49653,2.87861,0.84383
MLPRegressor_7,26.89695,5.18623,4.05786,0.70964
MLPRegressor_8,17.92167,4.23340,3.39962,0.81156
MLPRegressor_9,18.47639,4.29842,3.14342,0.80772
MLPRegressor_10,16.29618,4.03685,2.95632,0.83461
MLPRegressor_11,25.16532,5.01650,4.00115,0.74413
MLPRegressor_12,24.77156,4.97710,3.80963,0.74011
MLPRegressor_13,21.52050,4.63902,3.59707,0.80378
MLPRegressor_14,13.09296,3.61842,2.83827,0.85669
MLPRegressor_15,17.28418,4.15742,3.04179,0.81827
MLPRegressor_16,20.75357,4.55561,3.60292,0.74673
MLPRegressor_17,22.63998,4.75815,3.57268,0.75829
MLPRegressor_18,13.18969,3.63176,2.89061,0.85572
MLPRegressor_19,23.46049,4.84360,3.87708,0.75718
MLPRegressor_20,11.70008,3.42054,2.69387,0.87418
MLPRegressor_21,12.31522,3.50931,2.81846,0.88392
MLPRegressor_22,25.79373,5.07875,4.12840,0.75203
MLPRegressor_23,8.82628,2.97090,2.30606,0.89684
MLPRegressor_24,20.06023,4.47887,3.40321,0.78890
MLPRegressor_25,13.04174,3.61133,2.84263,0.85236
MLPRegressor_26,13.92613,3.73177,2.69412,0.86178
MLPRegressor_27,17.39183,4.17035,3.37110,0.81882
MLPRegressor_28,22.49784,4.74319,3.51631,0.72513
MLPRegressor_29,26.50555,5.14835,3.96549,0.72537
MLPRegressor_30,20.81086,4.56189,3.60161,0.77268
MLPRegressor_31,12.00660,3.46505,2.70786,0.86796
MLPRegressor_32,11.99287,3.46307,2.55732,0.86390
MLPRegressor_33,27.14704,5.21028,4.01657,0.68448
MLPRegressor_34,27.18214,5.21365,4.11048,0.71416
MLPRegressor_35,15.41543,3.92625,3.09236,0.83419
MLPRegressor_36,21.21229,4.60568,3.59671,0.77216
MLPRegressor_37,10.32039,3.21254,2.55973,0.87965
MLPRegressor_38,20.03773,4.47635,3.36160,0.77288
MLPRegressor_39,16.85025,4.10491,3.18005,0.80321
MLPRegressor_40,18.84739,4.34136,3.54232,0.78897
MLPRegressor_41,19.68774,4.43709,3.30196,0.78543
MLPRegressor_42,20.24435,4.49937,3.36353,0.77461
MLPRegressor_43,17.96812,4.23888,3.20367,0.81621
MLPRegressor_44,19.97376,4.46920,3.34344,0.78542
MLPRegressor_45,18.67118,4.32102,3.26952,0.80206
MLPRegressor_46,22.59826,4.75376,3.74841,0.74399
MLPRegressor_47,15.25876,3.90625,2.80135,0.84078
MLPRegressor_48,24.49346,4.94909,3.81716,0.72770
MLPRegressor_49,13.39470,3.65988,2.65017,0.85466
MLPRegressor_50,19.21896,4.38394,3.48854,0.79502
MLPRegressor_51,20.86648,4.56798,3.49179,0.78566
MLPRegressor_52,23.26162,4.82303,3.83053,0.75876
MLPRegressor_53,20.00287,4.47246,3.39268,0.79081
MLPRegressor_54,18.52636,4.30423,3.38415,0.78971
MLPRegressor_55,10.05937,3.17165,2.48363,0.89711
MLPRegressor_56,16.61177,4.07575,3.03187,0.81427
MLPRegressor_57,21.12290,4.59597,3.56333,0.76848
MLPRegressor_58,23.09401,4.80562,3.63437,0.75496
MLPRegressor_59,18.76339,4.33167,3.45401,0.78850
MLPRegressor_60,15.36731,3.92012,3.10769,0.81464
MLPRegressor_61,22.01942,4.69249,3.75323,0.76251
MLPRegressor_62,20.55404,4.53366,3.40878,0.80577
MLPRegressor_63,31.99339,5.65627,4.57388,0.69127
MLPRegressor_64,14.94634,3.86605,3.03424,0.83129
MLPRegressor_65,18.62833,4.31605,3.41804,0.80009
MLPRegressor_66,18.20272,4.26646,3.23042,0.81572
MLPRegressor_67,24.98395,4.99839,4.04116,0.73913
MLPRegressor_68,13.08473,3.61728,2.77287,0.86954
MLPRegressor_69,16.00363,4.00045,3.19090,0.81586
MLPRegressor_70,15.88648,3.98578,2.95448,0.84596
MLPRegressor_71,12.85674,3.58563,2.76829,0.86359
MLPRegressor_72,26.84328,5.18105,4.14696,0.69104
MLPRegressor_73,12.43891,3.52688,2.59664,0.85376
MLPRegressor_74,25.01910,5.00191,3.90277,0.74057
MLPRegressor_75,29.05946,5.39068,4.03383,0.70103
MLPRegressor_76,19.28962,4.39199,3.42993,0.78778
MLPRegressor_77,15.51832,3.93933,3.09917,0.84276
MLPRegressor_78,15.51993,3.93953,3.08206,0.83302
MLPRegressor_79,23.73032,4.87138,3.84554,0.72521
MLPRegressor_80,17.68648,4.20553,3.32973,0.79229
MLPRegressor_81,16.85743,4.10578,3.26803,0.81748
MLPRegressor_82,12.03599,3.46929,2.67491,0.86415
MLPRegressor_83,14.44266,3.80035,2.88299,0.85057
MLPRegressor_84,20.47019,4.52440,3.34367,0.77676
MLPRegressor_85,12.93947,3.59715,2.88398,0.84506
MLPRegressor_86,11.39490,3.37563,2.68482,0.87381
MLPRegressor_87,15.24608,3.90462,2.88171,0.83974
MLPRegressor_88,14.28639,3.77973,2.94545,0.83330
MLPRegressor_89,11.38186,3.37370,2.61113,0.88193
MLPRegressor_90,15.51099,3.93840,3.09159,0.83323
MLPRegressor_91,19.51037,4.41705,3.30060,0.80883
MLPRegressor_92,19.23855,4.38618,3.45749,0.79364
MLPRegressor_93,14.61581,3.82306,2.91102,0.85318
MLPRegressor_94,11.31168,3.36328,2.58728,0.88253
MLPRegressor_95,23.13826,4.81023,3.85822,0.75211
MLPRegressor_96,19.84098,4.45432,3.20546,0.78459
MLPRegressor_97,27.07943,5.20379,4.26387,0.68702
MLPRegressor_98,13.27953,3.64411,2.76274,0.83552
MLPRegressor_99,26.97300,5.19355,4.15639,0.71138
RandomForestRegressor_0,1.75779,1.32582,0.76551,0.98048
RandomForestRegressor_1,2.22338,1.49110,0.86418,0.97807
RandomForestRegressor_2,2.10074,1.44939,0.79316,0.97782
RandomForestRegressor_3,2.40776,1.55170,0.81421,0.97632
RandomForestRegressor_4,1.95841,1.39943,0.81334,0.97586
RandomForestRegressor_5,1.85620,1.36242,0.79268,0.97995
RandomForestRegressor_6,2.11799,1.45533,0.78015,0.97112
RandomForestRegressor_7,1.87842,1.37056,0.77339,0.97865
RandomForestRegressor_8,3.21993,1.79442,0.94855,0.96196
RandomForestRegressor_9,1.97115,1.40397,0.76540,0.97842
RandomForestRegressor_10,1.97221,1.40435,0.77747,0.97871
RandomForestRegressor_11,2.75284,1.65917,0.93360,0.97068
RandomForestRegressor_12,1.74591,1.32133,0.73351,0.98123
RandomForestRegressor_13,1.89140,1.37528,0.75356,0.98210
RandomForestRegressor_14,1.82893,1.35238,0.76726,0.97933
RandomForestRegressor_15,1.88048,1.37131,0.77747,0.97939
RandomForestRegressor_16,1.57816,1.25625,0.71019,0.98005
RandomForestRegressor_17,2.89326,1.70096,0.92041,0.96787
RandomForestRegressor_18,2.15894,1.46933,0.89907,0.97602
RandomForestRegressor_19,2.27627,1.50873,0.85422,0.97528
RandomForestRegressor_20,2.05898,1.43491,0.82035,0.97729
RandomForestRegressor_21,2.26741,1.50579,0.85070,0.97714
RandomForestRegressor_22,2.31056,1.52005,0.85098,0.97697
RandomForestRegressor_23,1.69809,1.30311,0.72259,0.97939
RandomForestRegressor_24,1.84163,1.35707,0.80574,0.98012
RandomForestRegressor_25,1.81541,1.34737,0.76373,0.97891
RandomForestRegressor_26,2.00339,1.41541,0.78815,0.97951
RandomForestRegressor_27,2.09856,1.44864,0.81786,0.97674
RandomForestRegressor_28,1.88973,1.37467,0.77612,0.97681
RandomForestRegressor_29,2.50321,1.58215,0.90594,0.97329
RandomForestRegressor_30,2.02358,1.42252,0.79611,0.97700
RandomForestRegressor_31,2.07712,1.44122,0.79803,0.97655
RandomForestRegressor_32,1.48833,1.21997,0.65635,0.98278
RandomForestRegressor_33,1.87254,1.36841,0.81866,0.97764
RandomForestRegressor_34,2.11115,1.45298,0.83501,0.97702
RandomForestRegressor_35,1.68656,1.29867,0.70023,0.98097
RandomForestRegressor_36,2.02608,1.42340,0.78774,0.97718
RandomForestRegressor_37,1.53956,1.24079,0.72917,0.98112
RandomForestRegressor_38,1.28959,1.13560,0.69346,0.98469
RandomForestRegressor_39,1.74709,1.32177,0.76324,0.97864
RandomForestRegressor_40,1.94449,1.39445,0.81159,0.97682
RandomForestRegressor_41,2.21042,1.48675,0.82618,0.97562
RandomForestRegressor_42,1.73274,1.31634,0.71313,0.98033
RandomForestRegressor_43,2.20986,1.48656,0.89367,0.97700
RandomForestRegressor_44,1.93729,1.39187,0.81474,0.97797
RandomForestRegressor_45,1.98768,1.40985,0.82983,0.97836
RandomForestRegressor_46,2.00251,1.41510,0.81429,0.97639
RandomForestRegressor_47,2.38735,1.54511,0.85000,0.97400
RandomForestRegressor_48,2.33222,1.52716,0.86925,0.97321
RandomForestRegressor_49,1.44466,1.20194,0.69725,0.98328
RandomForestRegressor_50,2.67511,1.63558,0.87783,0.97072
RandomForestRegressor_51,1.55515,1.24706,0.69695,0.98306
RandomForestRegressor_52,1.92566,1.38768,0.81020,0.97883
RandomForestRegressor_53,1.88642,1.37347,0.78670,0.97938
