train_label, mse, rmse, mae, r2
SVR_51,20.08392,4.48151,3.24180,0.77884
SVR_52,19.39157,4.40359,3.21734,0.77073
SVR_53,19.07902,4.36795,3.11881,0.78112
SVR_54,20.15200,4.48910,3.25992,0.77371
SVR_55,21.71995,4.66047,3.35110,0.77053
SVR_56,27.40591,5.23507,3.71832,0.70656
SVR_57,31.12001,5.57853,4.07474,0.69188
SVR_58,26.74313,5.17138,3.72236,0.72137
SVR_59,25.07495,5.00749,3.54316,0.73906
SVR_60,27.98417,5.29001,3.82902,0.70859
SVR_61,24.16629,4.91592,3.41928,0.73264
SVR_62,18.79712,4.33556,3.15691,0.77844
SVR_63,24.53094,4.95287,3.55315,0.74742
SVR_64,20.58493,4.53706,3.26155,0.78209
SVR_65,30.15460,5.49132,3.74743,0.69376
SVR_66,25.14244,5.01422,3.49359,0.73332
SVR_67,21.68982,4.65723,3.30257,0.75521
SVR_68,22.17825,4.70938,3.19495,0.74325
SVR_69,22.33352,4.72583,3.36350,0.75427
SVR_70,17.64440,4.20052,2.95505,0.79228
SVR_71,22.48086,4.74140,3.31315,0.75506
SVR_72,29.27509,5.41065,3.78232,0.71838
SVR_73,27.87201,5.27939,3.68064,0.72947
SVR_74,21.25155,4.60994,3.38714,0.77265
SVR_75,17.75846,4.21408,3.03333,0.80049
SVR_76,22.18141,4.70971,3.30000,0.75975
SVR_77,27.19545,5.21493,3.63739,0.71164
SVR_78,20.45185,4.52237,3.23639,0.77246
SVR_79,21.04254,4.58722,3.23018,0.77585
SVR_80,21.18921,4.60317,3.22500,0.77034
SVR_81,20.00313,4.47249,3.13963,0.75751
SVR_82,14.67781,3.83116,2.86901,0.82506
SVR_83,31.91516,5.64935,3.96818,0.68667
SVR_84,23.32845,4.82995,3.44492,0.76149
SVR_85,21.09689,4.59314,3.33055,0.77053
SVR_86,21.51021,4.63791,3.33009,0.75872
SVR_87,26.23034,5.12156,3.66005,0.72584
SVR_88,24.27305,4.92677,3.50257,0.74901
SVR_89,25.12104,5.01209,3.60474,0.73284
SVR_90,26.35926,5.13413,3.41337,0.72639
SVR_91,23.81834,4.88040,3.53946,0.76193
SVR_92,29.39685,5.42189,3.98544,0.71210
SVR_93,23.35505,4.83271,3.46731,0.75622
SVR_94,15.93770,3.99220,2.87934,0.80140
SVR_95,26.80717,5.17756,3.66544,0.71361
SVR_96,23.99506,4.89848,3.60938,0.73734
SVR_97,25.10433,5.01042,3.54932,0.74326
SVR_98,18.48121,4.29898,3.22185,0.79909
SVR_99,26.00024,5.09904,3.59636,0.73669
GaussianProcessRegressor_0,1.82324,1.35027,0.76263,0.97883
GaussianProcessRegressor_1,2.30561,1.51842,0.87706,0.97420
GaussianProcessRegressor_2,3.22009,1.79446,0.98965,0.96370
GaussianProcessRegressor_3,1.36108,1.16665,0.67374,0.98324
GaussianProcessRegressor_4,1.87203,1.36822,0.79385,0.98008
GaussianProcessRegressor_5,2.51829,1.58691,0.87654,0.97072
GaussianProcessRegressor_6,1.79481,1.33971,0.74276,0.97925
GaussianProcessRegressor_7,1.93301,1.39033,0.77831,0.97704
GaussianProcessRegressor_8,1.94964,1.39630,0.79981,0.97762
GaussianProcessRegressor_9,2.08483,1.44390,0.79206,0.97573
GaussianProcessRegressor_10,2.24035,1.49678,0.81870,0.97625
GaussianProcessRegressor_11,2.40921,1.55216,0.85190,0.97212
GaussianProcessRegressor_12,1.63531,1.27879,0.73226,0.98179
GaussianProcessRegressor_13,1.84466,1.35818,0.75786,0.98016
GaussianProcessRegressor_14,1.71463,1.30944,0.78176,0.98148
GaussianProcessRegressor_15,1.87105,1.36786,0.78274,0.97935
GaussianProcessRegressor_16,2.75801,1.66073,0.92060,0.96930
GaussianProcessRegressor_17,1.65166,1.28517,0.76308,0.97947
GaussianProcessRegressor_18,1.76675,1.32919,0.73897,0.98113
GaussianProcessRegressor_19,2.42832,1.55831,0.83436,0.97208
GaussianProcessRegressor_20,2.17302,1.47412,0.82522,0.97751
GaussianProcessRegressor_21,1.70713,1.30657,0.75551,0.97926
GaussianProcessRegressor_22,2.49788,1.58047,0.88249,0.97302
GaussianProcessRegressor_23,1.97940,1.40691,0.78024,0.97797
GaussianProcessRegressor_24,2.31200,1.52053,0.82652,0.97489
GaussianProcessRegressor_25,1.88877,1.37432,0.78955,0.97960
GaussianProcessRegressor_26,2.19225,1.48062,0.84363,0.97674
GaussianProcessRegressor_27,2.67996,1.63706,0.91360,0.97061
GaussianProcessRegressor_28,1.78160,1.33477,0.76758,0.98093
GaussianProcessRegressor_29,2.48182,1.57538,0.88368,0.97108
GaussianProcessRegressor_30,2.03941,1.42808,0.83175,0.97970
GaussianProcessRegressor_31,1.76909,1.33007,0.69909,0.97845
GaussianProcessRegressor_32,2.29585,1.51521,0.89014,0.97264
GaussianProcessRegressor_33,2.13414,1.46087,0.83210,0.97535
GaussianProcessRegressor_34,2.30375,1.51781,0.88541,0.97308
GaussianProcessRegressor_35,1.46285,1.20948,0.70900,0.98191
GaussianProcessRegressor_36,2.30660,1.51875,0.86042,0.97342
GaussianProcessRegressor_37,2.15422,1.46773,0.79425,0.97494
GaussianProcessRegressor_38,2.73743,1.65452,0.93054,0.96973
GaussianProcessRegressor_39,2.69229,1.64082,0.85193,0.97275
GaussianProcessRegressor_40,1.89089,1.37510,0.79351,0.97892
GaussianProcessRegressor_41,1.66781,1.29144,0.73035,0.97852
GaussianProcessRegressor_42,1.83809,1.35576,0.80871,0.97801
GaussianProcessRegressor_43,2.34196,1.53035,0.87890,0.97355
GaussianProcessRegressor_44,2.79793,1.67270,0.87520,0.96914
GaussianProcessRegressor_45,2.42821,1.55827,0.85643,0.97271
GaussianProcessRegressor_46,2.19897,1.48289,0.82249,0.97742
GaussianProcessRegressor_47,1.59576,1.26323,0.72674,0.98236
GaussianProcessRegressor_48,2.01926,1.42101,0.78449,0.97800
GaussianProcessRegressor_49,1.83310,1.35392,0.78983,0.97861
GaussianProcessRegressor_50,2.52505,1.58904,0.91173,0.97406
GaussianProcessRegressor_51,1.77157,1.33100,0.79151,0.97980
GaussianProcessRegressor_52,1.62269,1.27385,0.74709,0.97983
GaussianProcessRegressor_53,1.76021,1.32673,0.78354,0.97879
GaussianProcessRegressor_54,2.03664,1.42711,0.81635,0.97575
GaussianProcessRegressor_55,1.67060,1.29252,0.75406,0.98174
GaussianProcessRegressor_56,2.38955,1.54582,0.87488,0.97366
GaussianProcessRegressor_57,2.62227,1.61934,0.92471,0.97283
GaussianProcessRegressor_58,2.08141,1.44271,0.81523,0.97737
GaussianProcessRegressor_59,1.97688,1.40602,0.80822,0.97848
GaussianProcessRegressor_60,2.14232,1.46367,0.83078,0.97666
