train_label, mse, rmse, mae, r2
SVR_87,25.81819,5.08116,3.70885,0.71750
SVR_88,28.02151,5.29353,3.58461,0.71549
SVR_89,33.57950,5.79478,4.16984,0.67025
SVR_90,27.18646,5.21406,3.73543,0.70645
SVR_91,31.26135,5.59118,4.01135,0.69470
SVR_92,24.26968,4.92643,3.65266,0.71963
SVR_93,25.92630,5.09179,3.68306,0.70678
SVR_94,29.88563,5.46678,3.96298,0.71339
SVR_95,33.93605,5.82547,4.16038,0.68180
SVR_96,30.48459,5.52129,4.02877,0.68144
SVR_97,28.27368,5.31730,3.83634,0.68459
SVR_98,26.49769,5.14759,3.77830,0.70962
SVR_99,28.42448,5.33146,3.82926,0.71106
GaussianProcessRegressor_0,1.06037,1.02974,0.62551,0.98864
GaussianProcessRegressor_1,1.65710,1.28728,0.69036,0.98083
GaussianProcessRegressor_2,0.53751,0.73315,0.51558,0.99396
GaussianProcessRegressor_3,2.00528,1.41608,0.77974,0.97909
GaussianProcessRegressor_4,1.47672,1.21520,0.61959,0.98386
GaussianProcessRegressor_5,0.56470,0.75147,0.53146,0.99460
GaussianProcessRegressor_6,1.29329,1.13723,0.67077,0.98671
GaussianProcessRegressor_7,2.68714,1.63925,0.78578,0.97047
GaussianProcessRegressor_8,4.35326,2.08645,0.83965,0.95110
GaussianProcessRegressor_9,0.63691,0.79806,0.51580,0.99310
GaussianProcessRegressor_10,0.81897,0.90497,0.52769,0.99184
GaussianProcessRegressor_11,0.93959,0.96932,0.53038,0.98938
GaussianProcessRegressor_12,1.31764,1.14788,0.62961,0.98625
GaussianProcessRegressor_13,0.75763,0.87042,0.57530,0.99189
GaussianProcessRegressor_14,1.63107,1.27713,0.74242,0.98186
GaussianProcessRegressor_15,1.87925,1.37086,0.66520,0.98350
GaussianProcessRegressor_16,0.76645,0.87547,0.54584,0.99240
GaussianProcessRegressor_17,0.77249,0.87892,0.53265,0.99166
GaussianProcessRegressor_18,1.26285,1.12377,0.60779,0.98544
GaussianProcessRegressor_19,0.82474,0.90815,0.57426,0.99155
GaussianProcessRegressor_20,1.58305,1.25819,0.62610,0.98242
GaussianProcessRegressor_21,1.11055,1.05383,0.62325,0.98767
GaussianProcessRegressor_22,0.77033,0.87768,0.54257,0.99122
GaussianProcessRegressor_23,4.41545,2.10130,0.78315,0.95717
GaussianProcessRegressor_24,1.43515,1.19798,0.65922,0.98411
GaussianProcessRegressor_25,2.20037,1.48336,0.82493,0.97658
GaussianProcessRegressor_26,1.76638,1.32905,0.69937,0.98239
GaussianProcessRegressor_27,1.23798,1.11264,0.57923,0.98789
GaussianProcessRegressor_28,0.44659,0.66827,0.48074,0.99550
GaussianProcessRegressor_29,1.73863,1.31857,0.69060,0.98071
GaussianProcessRegressor_30,0.83619,0.91444,0.56151,0.98999
GaussianProcessRegressor_31,1.11678,1.05678,0.52370,0.98880
GaussianProcessRegressor_32,0.52364,0.72363,0.50190,0.99470
GaussianProcessRegressor_33,1.50081,1.22508,0.67151,0.98407
GaussianProcessRegressor_34,3.61969,1.90255,0.82885,0.96306
GaussianProcessRegressor_35,2.26976,1.50657,0.81074,0.97516
GaussianProcessRegressor_36,2.05671,1.43412,0.68564,0.97674
GaussianProcessRegressor_37,1.41741,1.19055,0.62538,0.98434
GaussianProcessRegressor_38,1.11996,1.05828,0.56698,0.98882
GaussianProcessRegressor_39,2.50786,1.58362,0.76577,0.97294
GaussianProcessRegressor_40,2.13433,1.46093,0.83889,0.97527
GaussianProcessRegressor_41,0.98121,0.99056,0.59100,0.98937
GaussianProcessRegressor_42,1.28706,1.13449,0.60351,0.98673
GaussianProcessRegressor_43,1.25971,1.12237,0.66471,0.98639
GaussianProcessRegressor_44,1.56952,1.25280,0.73025,0.98275
GaussianProcessRegressor_45,0.93485,0.96688,0.56584,0.99073
GaussianProcessRegressor_46,2.39861,1.54874,0.78715,0.97228
GaussianProcessRegressor_47,1.43953,1.19980,0.67050,0.98393
GaussianProcessRegressor_48,1.83238,1.35366,0.72805,0.97994
GaussianProcessRegressor_49,1.06410,1.03155,0.62613,0.98917
GaussianProcessRegressor_50,1.13207,1.06399,0.63864,0.98532
GaussianProcessRegressor_51,1.49394,1.22227,0.64258,0.98322
GaussianProcessRegressor_52,0.61745,0.78578,0.54341,0.99316
GaussianProcessRegressor_53,0.65408,0.80875,0.50612,0.99251
GaussianProcessRegressor_54,1.33747,1.15649,0.56248,0.98585
GaussianProcessRegressor_55,0.81112,0.90062,0.56903,0.99116
GaussianProcessRegressor_56,1.69868,1.30333,0.65333,0.98381
GaussianProcessRegressor_57,1.20802,1.09910,0.60635,0.98705
GaussianProcessRegressor_58,0.64211,0.80132,0.50279,0.99384
GaussianProcessRegressor_59,0.80404,0.89668,0.58296,0.99090
GaussianProcessRegressor_60,2.44734,1.56440,0.68840,0.97346
