train_label, mse, rmse, mae, r2
GaussianProcessRegressor_6,2.46407,1.56974,0.85789,0.97256
GaussianProcessRegressor_7,2.25250,1.50083,0.87662,0.97444
GaussianProcessRegressor_8,1.81909,1.34874,0.82845,0.97771
GaussianProcessRegressor_9,2.02496,1.42301,0.81578,0.97924
GaussianProcessRegressor_10,1.89773,1.37758,0.77204,0.98122
GaussianProcessRegressor_11,2.36034,1.53634,0.88174,0.97184
GaussianProcessRegressor_12,2.82203,1.67989,0.92744,0.96811
GaussianProcessRegressor_13,2.07397,1.44013,0.76808,0.97816
GaussianProcessRegressor_14,2.00381,1.41556,0.81830,0.97951
GaussianProcessRegressor_15,2.35746,1.53540,0.88236,0.97525
GaussianProcessRegressor_16,1.85371,1.36151,0.80142,0.97719
GaussianProcessRegressor_17,2.71834,1.64874,0.89408,0.97128
GaussianProcessRegressor_18,2.19396,1.48120,0.83457,0.97576
GaussianProcessRegressor_19,2.23536,1.49511,0.88671,0.97721
GaussianProcessRegressor_20,2.71345,1.64725,0.92101,0.97197
GaussianProcessRegressor_21,1.99668,1.41304,0.84290,0.97651
GaussianProcessRegressor_22,2.24220,1.49740,0.86811,0.97490
GaussianProcessRegressor_23,2.27428,1.50807,0.90321,0.97519
GaussianProcessRegressor_24,1.96754,1.40269,0.77226,0.97956
GaussianProcessRegressor_25,2.02212,1.42201,0.80715,0.97689
GaussianProcessRegressor_26,2.03503,1.42655,0.79033,0.97836
GaussianProcessRegressor_27,2.13398,1.46082,0.80783,0.97758
GaussianProcessRegressor_28,2.29718,1.51565,0.87972,0.97343
GaussianProcessRegressor_29,2.68169,1.63759,0.99240,0.96858
GaussianProcessRegressor_30,2.18208,1.47719,0.83885,0.97638
GaussianProcessRegressor_31,2.44896,1.56491,0.90404,0.97393
GaussianProcessRegressor_32,1.96630,1.40225,0.84024,0.97570
GaussianProcessRegressor_33,2.72121,1.64961,1.00517,0.96850
GaussianProcessRegressor_34,2.55187,1.59746,0.93094,0.97360
GaussianProcessRegressor_35,2.18442,1.47798,0.88018,0.97667
